Username,Record,Pick,Odds,Units,Sport,League,Event Time/Time Zone,Reasoning
hshueuejtifkcnx,32-14,"Arsenal vs Fulham - BTTS",+135,N/A,Soccer,Premier League,N/A,"I get some complaints from time to time that a lot of my picks are in the -140 and up range, and people want more juice. Well, here’s some juice for y’all. I think the bookmakers have this one wrong, this should be around -130 in my opinion. I don’t think anyone doubts Arsenal’s ability to score at home so I won’t spend too much time yapping about it. Arsenal has scored in 22 of their last 25 home games. In the last 2 games that they were held scoreless, they were without Saka, who is the oil for the Arsenal machine. He is back and expected to play tomorrow. In the third scoreless home match for Arsenal, they had 13 shots with 5 on target. They should have scored. This was an anomaly and we won’t delve into it. Fulham is where I think the bookmakers have it wrong. They themselves are at +110 to score. This Fulham team is great on the road and love to find the back of the net. They have scored in their last 17 away games, and 19 of their last 20 away games. They just find a way over and over again. Fulham also has a historically strong track record against Arsenal, not having lost to them since March 2023 both home and away. They are dealing with some injuries right now, but Jimenez, Willian, and Iwobi are all available and attacking threats. BTTS has hit in their last 4 H2H matchups at Arsenal, and 6 of their last 7 H2H. I see no reason why that trend shouldn’t continue."
saltcovers,"36-23-1 (+11.22U)","TOR @ CHI u239.5",-110,3,NBA,NBA,N/A,"We are going back to the well with an under in a b2b travel spot. The Bulls enter this game coming in from OKC. Josh Giddey may not play this game. He has perpetually been on the injury report with hip soreness and injury management. He is a pace up player and an over player for the Bulls. We have two top 10 under teams in this matchup. Since the all star break the Raptors are the #1 ranked defence, the Bulls rank 9th. RJ Barrett and Agbaji are out for the Raptors. Kevin Huerter is questionable for the Bulls. Looking back at the previous 3 matchups Game 1: Bulls win 122-121 in Toronto (total opened at 240.5 and closed at 239.5) Game 2: Bulls win 122-106 in Toronto (total opened at 231.5 and closed at 233.5) Game 3: Bulls win 125-115 (OT) in Chicago (total opened at 234.5 and closed at 233.5) Game 3 is most telling for me. A game played in early March with a closing total of 233.5. Yes, it went over due to overtime. That game goes way under with no OT. And I have no idea why a month later the total is priced 6 points higher. Most importantly I have the game projected at 227 so a big fat edge to the under. BOL!"
MathematicianMuch205,11-4,"Pavel Kotov ML",-120,1,Tennis,ATP Marrakech,N/A,"This was the pick I have been wanting to post since Sunday but the game kept getting pushed back, it opened as +105 and has moved all the way to -135 in some books. Anyways, I am going to state the obvious, Pavel Kotov is fat and he is a bum. However, he has been such a bum this year that he needs money for his groceries. You don't get in the way of Kotov and his food. Bellucci on the other hand is a certified bum. I know I throw that term willy nilly but this guy after playing ADM forgot how to play tennis. If you watch him play, it's like he has amnesia for most of the game because it looks like he forgets he has to put the ball between the lines not outside of it. Kotov also reached the semis of this tournament last year so I like him to beat Bellucci and go to the buffet straight afterwards."
DrowningSausage,4-1-0,"Mets ML",-148,1,MLB,MLB,"Mets @ Marlins","We are back on the Mets again today. While the pitching match up is tighter than yesterday I still feel the Mets have the edge and… have the better line up offensively (Lindor should be back). While Senga was not impressive last season, that was in the playoffs against the World Series dodgers team and a strong Phillies team. I expect him to have a solid 2025 after a healthy off season."
heatup3,"10-3 (4.29 units)","Daniel Elahi Galan ML",-140,1.4,Tennis,ATP Houston,"3:00PM EST","Galan has played mostly Challanger this year but almost all of his matches have been on clay. He's got 2 clay titles so far this year albeit at the Challanger level. Mcdonald comes in at decent form up and down as usual but lost to a semi pro Kyrgios last match. The main reason I like this is that he's lost his last ELEVEN clay matches dating back to 2022! This is green clay so it's a bit faster than normal clay courts. H2H is also in favor of Galan on clay but that was way back in 2021. Overall, clay merchant vs a guy going on 3 years without a win is too good to pass up here."
san_solares,"27-8-5 (+67.7U)","Rays -1 Asian Handicap",1.71,5,MLB,MLB,"7:05 PM EST","I still update the tracker for full transparency. Thomas Harrington is on the bump for the Pirates. He is making his major league debut today. I expect the Rays to light him up. The Pirates’ Home/Away splits are putrid when playing away. • Home Games: • Earned Run Average (ERA): 4.00 • Home Runs Allowed: 79 • Away Games: • Earned Run Average (ERA): 4.70 • Home Runs Allowed: 81 Almost a full run higher when playing away. Their pitchers, other than Skenes, suck; and their bullpen is no bueno. If it ain’t broke, don’t fix it. Fade the Pirates. On the other hand; the Rays look like a really good team again with a really low payroll. In my opinion, Junior Caminero will be in the ASG, he is such an underrated third basemen, and the Rays offense revolves around him. Jonathan Aranda is batting well, and Jake Mangum is looking like the Rays’ revelation of the season so far. For the Rays, Shane Baz is on the mound, an extremely young pitcher with a promising 3.05 ERA and a really really solid 1.06 WHIP. I fully believe the Rays get this done."
KingRevYT,1-0 (+1 units),"New York Yankees ML",+100,1,MLB,MLB,N/A,"Feels nice to start 1-0 on this thread after following for quite some time. Rockies went up 1-0 in the 6th, but Phillies brought it right back with 4 Runs in the 7th and then ran away with it for a comfortable cash out on the -1.5 Runline! Almost feels like we won’t see this line very often. I’m not backing Will Warren as much as I am the Yankees hitting. The Yankees are absolutely blazing hot scoring 36 runs in 3 games against the brewers. It’s a small sample size but Yankees are batting .302 against RHP so far. Give me the Yankees as the slight underdog to win at home! Also forgot to mention on last pick, all bets are to win 1 unit. Unless I state i am placing more than 1 unit."
itachiuchiha2255,"72 - 56 (-4.79u)","Nottingham Forest to WIN or DRAW and Total Under 3.5 Goals",1.89,4,Soccer,England Premier League,"Nottingham Forest vs Manchester United","Nottingham Forest have been really strong at home this season and are sitting third in the league. They score 1.64 goals per home game and only let in 0.71, which shows how solid they are defensively. They haven't lost in their last five home matches, and the last three all had under 3.5 goals. With their good form and strong defense, they’ll feel good about their chances in this one. Manchester United haven’t been great this season and are struggling in 13th place. Their away form isn’t much better—they only score 1.14 goals per game while letting in 1.07. They’ve won just one of their last four away games, and three of those had under 3.5 goals. Their attack hasn’t been sharp, and breaking down Forest’s defense won’t be easy. With Forest playing well at home and United struggling away, this should be a tight game. Forest’s defense makes it hard for teams to score, and United aren’t in great form. A Nottingham win or draw with under 3.5 goals looks like a good bet."
The_Black_Syndicate,14-5-0,"St Louis Blues over 2.5 team score",-185,N/A,NHL,NHL Regular Season,"8:00 PM EST","The Blues and Red Wings played each other once this season, and the Blues put up a 4 goal shutout. They average 3 goals a game on the season, and over the last 10 games are 9-1 and  have been averaging 4.2 goals per game. The Red Wings are letting up 3.2 goals per game, which helps our case. Additionally, with the postseason around the corner, the Blues are pushing for a wild card/playoff spot, so getting points and wins will be important to them. The Blues have been improving on power play, which is a strength against Detroit’s weak penalty kill and shaky goaltending. Given the Blues’ ability to capitalize on defensive lapses and Detroit’s tendency to play in high-scoring games, they should have plenty of opportunities to find the back of the net."
billycapezzi,140-101,"Karl-Anthony Towns O22.5 P",1.83,N/A,NBA,NBA,"Knicks","First of all I understand that the spread in this game is scary hence why we get this line, but the Sixers won’t have anyone to stop him and KAT usually sees 30+ minutes even in big blowouts cause of how Thibs runs his teams. With 30+ minutes he’s over in 13/L20 games avg 24.9 PPG. Brunson is still out, without Brunson he’s over in 10/13 games and gets a big usage boost without him. He’s Avg 18+ FGA without Brunson & with 18+ FGA he’s over in 10/L10 games, hoping he gets the same kind of volume here. Sixers have allowed 2nd most points in the restricted area this season where KAT is scoring 44% of his buckets from, they’re also ranked 29th in defending above the break 3s this season where KAT gets another 30% of his scoring from. Over the L30 games they’ve allowed 2nd most points in the NBA to opposing Centers. Great matchup for KAT as the 76ers doesn’t have any size to stop him, ultimately we’re hoping that he gets going early and gets it done before the 4th if there is a blowout. If this gets bumped I do like his 1.5 threes aswell"
